7.000000000000e-01    0.000000000000e+00
8.000000000000e-01    3.556187947591e-04
9.000000000000e-01    1.929419176950e-03
1.000000000000e+00    3.221193904031e-03
1.100000000000e+00    6.439685884137e-03
1.200000000000e+00    8.827205122091e-03
1.300000000000e+00    1.569204821908e-02
1.400000000000e+00    2.108246613892e-02
1.500000000000e+00    3.441164734787e-02
1.600000000000e+00    4.310358773084e-02
1.700000000000e+00    6.293271505594e-02
1.800000000000e+00    7.505819284011e-02
1.900000000000e+00    1.008733385813e-01
2.000000000000e+00    1.158780755235e-01
2.100000000000e+00    1.478900423460e-01
2.200000000000e+00    1.650379434391e-01
2.300000000000e+00    2.009143275788e-01
2.400000000000e+00    2.185671658620e-01
2.500000000000e+00    2.529477421073e-01
2.600000000000e+00    2.693709129632e-01
2.700000000000e+00    3.006492664863e-01
2.800000000000e+00    3.151239537572e-01
2.900000000000e+00    3.424934896404e-01
3.000000000000e+00    3.542765940710e-01
3.100000000000e+00    3.758639891741e-01
3.200000000000e+00    3.849910411648e-01
3.300000000000e+00    4.015466056540e-01
3.400000000000e+00    4.088757134535e-01
3.500000000000e+00    4.220530243969e-01
3.600000000000e+00    4.279269255738e-01
3.700000000000e+00    4.390103703318e-01
3.800000000000e+00    4.436590896207e-01
3.900000000000e+00    4.520000495814e-01
4.000000000000e+00    4.557530093779e-01
4.100000000000e+00    4.628581835237e-01
4.200000000000e+00    4.659195922451e-01
4.300000000000e+00    4.716692516674e-01
4.400000000000e+00    4.742705086365e-01
4.500000000000e+00    4.790419313610e-01
4.600000000000e+00    4.811314975327e-01
4.700000000000e+00    4.850521028800e-01
4.800000000000e+00    4.868527930993e-01
4.900000000000e+00    4.902255458829e-01
5.000000000000e+00    4.917582115658e-01
5.100000000000e+00    4.946522443069e-01
5.200000000000e+00    4.959511253887e-01
5.300000000000e+00    4.984034469461e-01
5.400000000000e+00    4.995566542632e-01
5.500000000000e+00    5.018114908238e-01
5.600000000000e+00    5.028568948033e-01
5.700000000000e+00    5.048453547644e-01
5.800000000000e+00    5.057436581205e-01
5.900000000000e+00    5.074644519478e-01
