tempreature/J                              E                                     Cv                                    m                                  chi
6.000000000000e+00                    -2.451087007505e-01                    3.863431515703e-02                    2.278381801126e-01                    5.213061474481e-05                    
6.100000000000e+00                    -2.475960600375e-01                    3.765961931392e-02                    2.241832786116e-01                    5.111470295546e-05                    
6.200000000000e+00                    -2.139190900563e-01                    3.618182613967e-02                    2.283085131332e-01                    5.023132733527e-05                    
6.300000000000e+00                    -2.334778963415e-01                    3.517334776014e-02                    2.288447467167e-01                    4.942755086594e-05                    
6.400000000000e+00                    -2.344057223265e-01                    3.443483738753e-02                    2.298459193246e-01                    4.829946254846e-05                    
6.500000000000e+00                    -2.245637077861e-01                    3.344354973994e-02                    2.281339118199e-01                    4.741164296922e-05                    
6.600000000000e+00                    -2.146277321764e-01                    3.239582959492e-02                    2.224464118199e-01                    4.661516325390e-05                    
6.700000000000e+00                    -2.375267002814e-01                    3.159624729576e-02                    2.254567307692e-01                    4.587606340608e-05                    
6.800000000000e+00                    -1.993557692308e-01                    3.065600897411e-02                    2.269826454034e-01                    4.517190276245e-05                    
6.900000000000e+00                    -2.050287288931e-01                    3.005063310256e-02                    2.238785178236e-01                    4.422292188365e-05                    
7.000000000000e+00                    -2.124009849906e-01                    2.910264507822e-02                    2.170755159475e-01                    4.358397394457e-05                    
7.100000000000e+00                    -2.014600257974e-01                    2.835389601851e-02                    2.192463649156e-01                    4.282454658377e-05                    
7.200000000000e+00                    -2.032729479362e-01                    2.733303463286e-02                    2.241241791745e-01                    4.219122490958e-05                    
7.300000000000e+00                    -2.202252579737e-01                    2.642692536596e-02                    2.198846153846e-01                    4.140925452233e-05                    
7.400000000000e+00                    -1.989484521576e-01                    2.624079803569e-02                    2.210639071295e-01                    4.085155192952e-05                    
7.500000000000e+00                    -2.002732293621e-01                    2.558165237295e-02                    2.223771106942e-01                    4.020736787060e-05                    
