tempreature/J                              E                                     Cv                                    m                                  chi
1.875000000000e+00                    -3.645602580258e+00                    8.990479967151e-01                    9.437585508551e-01                    3.343236078087e-06                    
1.900000000000e+00                    -3.620646684668e+00                    9.396852302717e-01                    9.372618121812e-01                    3.942058955478e-06                    
1.925000000000e+00                    -3.591641956196e+00                    1.007103997389e+00                    9.313067986799e-01                    4.783476414242e-06                    
1.950000000000e+00                    -3.564005100510e+00                    1.055529778364e+00                    9.267381158116e-01                    4.794768690413e-06                    
1.975000000000e+00                    -3.525919507951e+00                    1.096497168169e+00                    9.178089048905e-01                    5.835165909638e-06                    
2.000000000000e+00                    -3.493432379238e+00                    1.138624804306e+00                    9.122412391239e-01                    6.875208977684e-06                    
2.025000000000e+00                    -3.453323840384e+00                    1.176606808122e+00                    9.025690309031e-01                    7.412216672270e-06                    
2.050000000000e+00                    -3.414910291029e+00                    1.245727475416e+00                    8.912733453345e-01                    8.360231959172e-06                    
2.075000000000e+00                    -3.365213825383e+00                    1.311041878385e+00                    8.827326042604e-01                    9.704795466647e-06                    
2.100000000000e+00                    -3.322396291629e+00                    1.358554260349e+00                    8.651940744074e-01                    1.072932418560e-05                    
2.125000000000e+00                    -3.279876819682e+00                    1.417033458815e+00                    8.591848394839e-01                    1.255626436718e-05                    
2.150000000000e+00                    -3.222381758176e+00                    1.474196013554e+00                    8.423577527753e-01                    1.510745131086e-05                    
2.175000000000e+00                    -3.157207812781e+00                    1.507732777167e+00                    8.242004290429e-01                    1.572963026310e-05                    
2.200000000000e+00                    -3.134051029103e+00                    1.528049883341e+00                    8.078918691869e-01                    1.968910267553e-05                    
2.225000000000e+00                    -3.069036507651e+00                    1.565989756597e+00                    7.949133573357e-01                    2.003254415785e-05                    
2.250000000000e+00                    -3.010076099610e+00                    1.588820496337e+00                    7.705635163516e-01                    2.290288910155e-05                    
2.275000000000e+00                    -2.934665670567e+00                    1.630290906243e+00                    7.476648784878e-01                    2.751890857635e-05                    
2.300000000000e+00                    -2.875890501050e+00                    1.632501359389e+00                    7.229689768977e-01                    2.922397183080e-05                    
2.325000000000e+00                    -2.812409720972e+00                    1.658834753707e+00                    7.086169096910e-01                    3.263050126088e-05                    
2.350000000000e+00                    -2.736376765677e+00                    1.642660658505e+00                    6.806351755176e-01                    3.652310342555e-05                    
2.375000000000e+00                    -2.687287536754e+00                    1.615670235659e+00                    6.530385448545e-01                    3.817697975994e-05                    
2.400000000000e+00                    -2.616460198020e+00                    1.599011236007e+00                    6.398095499550e-01                    3.983785811996e-05                    
2.425000000000e+00                    -2.534517275728e+00                    1.578255670718e+00                    6.079883678368e-01                    4.236754292181e-05                    
2.450000000000e+00                    -2.492951791179e+00                    1.559262958249e+00                    5.817268706871e-01                    4.579445247381e-05                    
2.475000000000e+00                    -2.424852001200e+00                    1.522801485790e+00                    5.619432673267e-01                    4.729696941542e-05                    
2.500000000000e+00                    -2.370120816082e+00                    1.488230154381e+00                    5.367614041404e-01                    5.043474008610e-05                    
2.525000000000e+00                    -2.318511995200e+00                    1.410864337882e+00                    5.168385568557e-01                    5.241878524404e-05                    
2.550000000000e+00                    -2.259170057006e+00                    1.371625454647e+00                    4.913851935194e-01                    5.160786952153e-05                    
2.575000000000e+00                    -2.211988814881e+00                    1.322972064976e+00                    4.768909900990e-01                    5.421671447059e-05                    
2.600000000000e+00                    -2.157102538254e+00                    1.282450895457e+00                    4.580121902190e-01                    5.629374091591e-05                    
2.625000000000e+00                    -2.114005460546e+00                    1.268589085515e+00                    4.406447794779e-01                    5.666397321678e-05                    
2.650000000000e+00                    -2.075188178818e+00                    1.184832259647e+00                    4.169219441944e-01                    5.705006483520e-05                    
2.675000000000e+00                    -2.041466186619e+00                    1.176460328343e+00                    4.072201470147e-01                    5.533922767211e-05                    
2.700000000000e+00                    -2.002770789079e+00                    1.142173455514e+00                    3.947332913291e-01                    5.466302195083e-05                    
2.725000000000e+00                    -1.954150255026e+00                    1.081600596485e+00                    3.772748964896e-01                    5.568563580143e-05                    
2.750000000000e+00                    -1.931211101110e+00                    1.045052713833e+00                    3.635033213321e-01                    5.586382200305e-05                    
2.775000000000e+00                    -1.886631119112e+00                    1.019341293921e+00                    3.557022982298e-01                    5.404736992407e-05                    
2.800000000000e+00                    -1.858766996700e+00                    9.842304823550e-01                    3.475690219022e-01                    5.351006451243e-05                    
2.825000000000e+00                    -1.823233087309e+00                    9.512181173259e-01                    3.358955475548e-01                    5.348905340015e-05                    
2.850000000000e+00                    -1.797519447945e+00                    8.958382371210e-01                    3.223249474947e-01                    5.369753163391e-05                    
2.875000000000e+00                    -1.771293309331e+00                    8.830114306906e-01                    3.168455415542e-01                    5.261382670300e-05                    
2.900000000000e+00                    -1.745223222322e+00                    8.479659960615e-01                    3.084993609361e-01                    5.240855016431e-05                    
2.925000000000e+00                    -1.716155679568e+00                    8.143467361374e-01                    2.944193999400e-01                    5.064386604299e-05                    
2.950000000000e+00                    -1.691964896490e+00                    7.996761547521e-01                    2.896995739574e-01                    4.953482700397e-05                    
2.975000000000e+00                    -1.678006060606e+00                    7.806134211045e-01                    2.845037263726e-01                    4.795219635765e-05                    
3.000000000000e+00                    -1.653475655566e+00                    7.483215992014e-01                    2.745936303630e-01                    4.744767221127e-05                    
3.025000000000e+00                    -1.629661134113e+00                    7.330844513646e-01                    2.737121932193e-01                    4.636528275187e-05                    
3.050000000000e+00                    -1.614660042004e+00                    7.152789250976e-01                    2.669945034503e-01                    4.592223490939e-05                    
3.075000000000e+00                    -1.589884596460e+00                    6.951252249188e-01                    2.602541644164e-01                    4.523848190403e-05                    
3.100000000000e+00                    -1.563946150615e+00                    6.550108241956e-01                    2.541185358536e-01                    4.504949411378e-05                    
3.125000000000e+00                    -1.547212733273e+00                    6.519375865289e-01                    2.533313531353e-01                    4.315622418468e-05                    
