tempreature                            E                                     Cv                                    S
1.140000000000e+01                    -1.475897155762e+00                    1.252573143632e+00                    9.573528759487e-02                    
1.150000000000e+01                    -1.461619903564e+00                    1.232957048128e+00                    8.231800539934e-02                    
1.160000000000e+01                    -1.449634185791e+00                    1.222909241922e+00                    7.626418027419e-02                    
1.170000000000e+01                    -1.430816711426e+00                    1.202507839689e+00                    6.211721585111e-02                    
1.180000000000e+01                    -1.426605773926e+00                    1.204829473898e+00                    6.543924709024e-02                    
1.190000000000e+01                    -1.406707092285e+00                    1.166936928280e+00                    3.617162578744e-02                    
1.200000000000e+01                    -1.404671905518e+00                    1.187288261556e+00                    5.461594284367e-02                    
1.210000000000e+01                    -1.385675170898e+00                    1.167387710829e+00                    4.024991760840e-02                    
1.220000000000e+01                    -1.371091247559e+00                    1.135617993884e+00                    1.479246226910e-02                    
1.230000000000e+01                    -1.358471282959e+00                    1.167365044342e+00                    4.430429041559e-02                    
1.240000000000e+01                    -1.346922637939e+00                    1.131001698589e+00                    1.448090559742e-02                    
1.250000000000e+01                    -1.336800323486e+00                    1.121392433008e+00                    7.627130997498e-03                    
1.260000000000e+01                    -1.327190063477e+00                    1.125237796611e+00                    1.266184336529e-02                    
1.270000000000e+01                    -1.318540374756e+00                    1.113555820216e+00                    3.736260120723e-03                    
1.280000000000e+01                    -1.302079528809e+00                    1.104004645576e+00                    -2.780807392413e-03                    
1.290000000000e+01                    -1.282591766357e+00                    1.085812944960e+00                    -1.709675385543e-02                    
1.300000000000e+01                    -1.278176696777e+00                    1.095283164513e+00                    -7.308356800682e-03                    
1.310000000000e+01                    -1.269896942139e+00                    1.059619119845e+00                    -3.902917522128e-02                    
1.320000000000e+01                    -1.255069152832e+00                    1.087676954993e+00                    -1.103680844799e-02                    
1.330000000000e+01                    -1.251839996338e+00                    1.080812044357e+00                    -1.641065646639e-02                    
1.340000000000e+01                    -1.237411590576e+00                    1.053143541697e+00                    -4.056460778766e-02                    
1.350000000000e+01                    -1.231418853760e+00                    1.048331629973e+00                    -4.401623473344e-02                    
1.360000000000e+01                    -1.217054718018e+00                    1.035399767079e+00                    -5.470171697308e-02                    
1.370000000000e+01                    -1.214563995361e+00                    1.034590625178e+00                    -5.464848898532e-02                    
1.380000000000e+01                    -1.198157287598e+00                    9.973230111739e-01                    -8.950357022317e-02                    
1.390000000000e+01                    -1.195015594482e+00                    1.021092149755e+00                    -6.509955540480e-02                    
1.400000000000e+01                    -1.189030334473e+00                    1.002848645054e+00                    -8.208614282258e-02                    
1.410000000000e+01                    -1.179307281494e+00                    1.005390606421e+00                    -7.826268518372e-02                    
1.420000000000e+01                    -1.165747680664e+00                    9.838495961536e-01                    -9.837715013898e-02                    
1.430000000000e+01                    -1.152545379639e+00                    9.762804748450e-01                    -1.046029410807e-01                    
1.440000000000e+01                    -1.139772277832e+00                    9.813802387153e-01                    -9.794614396709e-02                    
1.450000000000e+01                    -1.139563720703e+00                    9.697178689049e-01                    -1.093407080186e-01                    
1.460000000000e+01                    -1.135540588379e+00                    9.749590119161e-01                    -1.031366005571e-01                    
1.470000000000e+01                    -1.119774200439e+00                    9.550215525351e-01                    -1.221964863327e-01                    
1.480000000000e+01                    -1.113977630615e+00                    9.565464179622e-01                    -1.196947211322e-01                    
1.490000000000e+01                    -1.104231506348e+00                    9.391700754870e-01                    -1.368681891909e-01                    
1.500000000000e+01                    -1.090690490723e+00                    9.139408428874e-01                    -1.627021323221e-01                    
