tempreature/J                              E                                     Cv                                    m                                  chi
3.250000000000e+00                    -7.297774431250e-01                    6.031775432621e-01                    1.126926206875e-01                    3.294195465899e-06                    
3.300000000000e+00                    -7.146038350000e-01                    5.707240501935e-01                    1.097335070000e-01                    3.081667629261e-06                    
3.350000000000e+00                    -6.995595407500e-01                    5.447265060088e-01                    1.067658818125e-01                    2.867423587323e-06                    
3.400000000000e+00                    -6.853320565000e-01                    5.235577599356e-01                    1.040266886250e-01                    2.696507139466e-06                    
3.450000000000e+00                    -6.732449360000e-01                    5.015691296124e-01                    1.011315124375e-01                    2.583657485503e-06                    
3.500000000000e+00                    -6.601980560000e-01                    4.855854458962e-01                    9.899066637500e-02                    2.440849042438e-06                    
3.550000000000e+00                    -6.480884225000e-01                    4.634810299374e-01                    9.709573975000e-02                    2.329736692144e-06                    
3.600000000000e+00                    -6.359501397500e-01                    4.450956850733e-01                    9.489961787500e-02                    2.228962692263e-06                    
3.650000000000e+00                    -6.252122503750e-01                    4.307362419641e-01                    9.301010693750e-02                    2.088142075283e-06                    
3.700000000000e+00                    -6.144771710000e-01                    4.140126837424e-01                    9.114278112500e-02                    2.021311228994e-06                    
3.750000000000e+00                    -6.041314911250e-01                    3.999225437086e-01                    8.931516687500e-02                    1.889031951363e-06                    
3.800000000000e+00                    -5.942606426250e-01                    3.856869845952e-01                    8.834684412500e-02                    1.831351461316e-06                    
3.850000000000e+00                    -5.848025696250e-01                    3.710181975493e-01                    8.672989762500e-02                    1.757999561611e-06                    
3.900000000000e+00                    -5.749241970000e-01                    3.590448009099e-01                    8.508039456250e-02                    1.689818281044e-06                    
3.950000000000e+00                    -5.661119408750e-01                    3.487580364349e-01                    8.389531381250e-02                    1.622179491816e-06                    
4.000000000000e+00                    -5.572087585000e-01                    3.358975814953e-01                    8.303308918750e-02                    1.552055353062e-06                    
4.050000000000e+00                    -5.490276741250e-01                    3.249660494344e-01                    8.115664900000e-02                    1.498699693054e-06                    
4.100000000000e+00                    -5.405819635000e-01                    3.157791735739e-01                    8.054260200000e-02                    1.445020668038e-06                    
4.150000000000e+00                    -5.326224333750e-01                    3.067998849091e-01                    7.886513387500e-02                    1.401104467909e-06                    
4.200000000000e+00                    -5.255279701250e-01                    2.957108539872e-01                    7.845846068750e-02                    1.342769552149e-06                    
4.250000000000e+00                    -5.176370688750e-01                    2.877635657925e-01                    7.763334100000e-02                    1.305809873087e-06                    
4.300000000000e+00                    -5.103704043750e-01                    2.793792763282e-01                    7.664600656250e-02                    1.270794340118e-06                    
4.350000000000e+00                    -5.033906603750e-01                    2.707807108919e-01                    7.594629337500e-02                    1.226453229449e-06                    
4.400000000000e+00                    -4.963916425000e-01                    2.636936113867e-01                    7.518874350000e-02                    1.175205602077e-06                    
4.450000000000e+00                    -4.903166166250e-01                    2.565893506190e-01                    7.415287793750e-02                    1.146097061664e-06                    
4.500000000000e+00                    -4.837577063750e-01                    2.488161483960e-01                    7.323700812500e-02                    1.109184523735e-06                    
4.550000000000e+00                    -4.772124405000e-01                    2.413841376855e-01                    7.285470562500e-02                    1.091015857418e-06                    
4.600000000000e+00                    -4.715564046250e-01                    2.364792162883e-01                    7.171819743750e-02                    1.056710408766e-06                    
4.650000000000e+00                    -4.654242565000e-01                    2.295523740998e-01                    7.148983693750e-02                    1.027207341758e-06                    
4.700000000000e+00                    -4.598250990000e-01                    2.235784402525e-01                    7.056812525000e-02                    9.976864344279e-07                    
4.750000000000e+00                    -4.544544648750e-01                    2.184682292890e-01                    7.012829200000e-02                    9.661001332784e-07                    
4.800000000000e+00                    -4.487611137500e-01                    2.126059973608e-01                    6.961197425000e-02                    9.504351507755e-07                    
